cluster,variable,count,median,q1,q3,mean
0,numero_do_atendimento,5837,69813.0,12260.0,104500.0,62274.51584718177
0,BILIRRUBINA,2788,0.54,0.39,0.81,0.867015781922525
0,CPK,2884,85.0,49.0,163.0,355.37278085991676
0,CREATININA,5325,1.44,1.18,1.97,4.8882685446009395
0,FOSFATASE_ALCALINA,2319,67.0,53.0,88.0,83.36304441569644
0,GLICOSE,153,100.2,86.9,133.7,130.4653594771242
0,LDH,2784,211.0,169.0,272.0,610.0497126436782
0,LEUCO,5791,9590.0,7120.0,13130.0,10848.974788464859
0,PCR,4920,28.87,6.16,110.41250000000001,61.51323983739837
0,PLAQ,5791,218000.0,167000.0,275000.0,231788.6375410119
0,POTASSIO,3249,4.45,4.02,4.94,4.526617420744844
0,SODIO,3260,136.5,133.7,138.8,136.43263803680983
0,TAP,1776,79.0,63.0,95.0,76.83451576576577
0,TGO,4342,27.0,20.0,35.7,50.72084292952555
0,TGP,3962,18.6,13.0,28.475,37.934250378596666
0,UREIA,5137,63.24,49.09,88.31,76.97259879306988
0,idade,5141,70.8,59.6,80.0,68.0285158529469
0,codigo_da_unidade,5837,5.0,5.0,5.0,5.044200788076067
0,n_exames,5837,9.0,7.0,11.0,9.333733082062704
0,LEUCO_original,5791,9220.0,6570.0,12805.0,10155.22440511138
0,PLAQ_original,5791,211000.0,155000.0,271000.0,217241.81056812295
1,numero_do_atendimento,5029,61990.0,25448.0,91079.0,61087.567707297676
1,BILIRRUBINA,2666,0.54,0.38,0.92,1.1583158289572393
1,CPK,2446,125.0,67.0,281.75,660.8828699918234
1,CREATININA,4523,0.85,0.7,1.02,0.8817775812513818
1,FOSFATASE_ALCALINA,1919,71.0,53.0,106.5,101.50375195414279
1,GLICOSE,55,103.9,91.0,142.9,125.06545454545453
1,LDH,2167,279.0,219.0,369.5,356.4383940932164
1,LEUCO,4990,4665.0,3100.0,7217.5,5760.013026052105
1,PCR,3741,7.97,3.02,25.89,26.751379310344827
1,PLAQ,4990,139000.0,93000.0,196750.0,152794.9899799599
1,POTASSIO,1874,4.14,3.81,4.49,4.180352187833511
1,SODIO,1904,136.6,134.0,138.6,136.1796743697479
1,TAP,1703,84.0,69.0,100.0,81.21004110393424
1,TGO,4762,62.2,42.225,104.175,120.0437001259975
1,TGP,4692,52.6,32.4,90.55,105.71813725490196
1,UREIA,4031,27.59,20.8,36.885000000000005,30.723527660630115
1,idade,4595,47.7,31.25,63.8,47.656060935799786
1,codigo_da_unidade,5029,5.0,5.0,5.0,5.0399681845297275
1,n_exames,5029,9.0,7.0,11.0,9.239013720421555
1,LEUCO_original,4990,4515.0,2920.0,7030.0,5528.109890781563
1,PLAQ_original,4990,136000.0,89000.0,194000.0,147756.74669338678
2,numero_do_atendimento,15548,62466.5,12468.25,104714.75,61697.35721636223
2,BILIRRUBINA,7247,0.46,0.34,0.64,0.5637932937767351
2,CPK,6855,87.0,55.7,148.0,200.19043034281546
2,CREATININA,13969,0.78,0.65,0.93,0.8246209463812728
2,FOSFATASE_ALCALINA,6258,63.0,51.0,79.0,71.97427293064877
2,GLICOSE,557,92.6,84.4,104.0,101.81400359066427
2,LDH,6448,187.0,158.0,227.125,206.32400744416876
2,LEUCO,15402,8830.0,6760.0,11610.0,9659.073821581613
2,PCR,12695,8.05,2.16,32.98,31.2069515557306
2,PLAQ,15401,258000.0,211000.0,313000.0,270539.0104538666
2,POTASSIO,5866,4.18,3.87,4.47,4.199493692465053
2,SODIO,5931,137.0,135.0,138.7,136.63215309391333
2,TAP,4092,85.0,73.0,100.0,83.03511730205278
2,TGO,12114,22.4,16.8,27.9,23.64945517582962
2,TGP,11425,16.7,12.3,23.2,19.496341356673963
2,UREIA,12799,29.44,23.35,36.254999999999995,30.258263145558246
2,idade,13283,40.6,26.1,59.2,42.64907776857637
2,codigo_da_unidade,15548,5.0,5.0,5.0,5.034023668639053
2,n_exames,15548,9.0,7.0,10.0,8.815217391304348
2,LEUCO_original,15402,8540.0,6270.0,11360.0,9029.631371055706
2,PLAQ_original,15401,252000.0,200000.0,308000.0,253145.01999870138
