cluster_no_age,variable,count,median,q1,q3
0,LEUCO,15107,8950.0,6870.0,11680.0
0,PLAQ,15107,258000.0,212000.0,313000.0
0,CREATININA,13726,0.78,0.66,0.93
0,UREIA,12801,29.76,23.53,36.82
0,PCR,12686,8.215,2.19,33.557500000000005
0,TGO,11937,22.6,16.9,28.3
0,TGP,11242,16.7,12.3,23.5
0,idade,13149,42.0,26.6,61.3
1,LEUCO,5335,9820.0,7295.0,13430.0
1,PLAQ,5334,219000.0,168000.0,280000.0
1,CREATININA,4852,1.48,1.22,2.01
1,UREIA,4651,65.82,50.79,91.96000000000001
1,PCR,4525,31.42,6.56,119.23
1,TGO,4033,27.0,20.2,36.0
1,TGP,3699,19.2,13.3,30.0
1,idade,4710,68.7,55.025,78.8
2,LEUCO,5117,4560.0,3080.0,6890.0
2,PLAQ,5117,136000.0,93000.0,187000.0
2,CREATININA,4652,0.85,0.7,1.02
2,UREIA,4185,27.74,20.9,37.31
2,PCR,3882,7.97,2.99,25.73
2,TGO,4699,61.4,41.1,103.5
2,TGP,4612,50.9,30.6,88.825
2,idade,4774,48.6,31.4,64.9
