cluster_id,cluster_label,variable,median_iqr,n_available,completeness_pct
0,inflammatory_renal,idade,70.80 (59.60-80.00),5141,88.08
1,hepatic_like,idade,47.70 (31.25-63.80),4595,91.37
2,basal,idade,40.60 (26.10-59.20),13283,85.43
0,inflammatory_renal,LEUCO,9590.00 (7120.00-13130.00),5791,99.21
1,hepatic_like,LEUCO,4665.00 (3100.00-7217.50),4990,99.22
2,basal,LEUCO,8830.00 (6760.00-11610.00),15402,99.06
0,inflammatory_renal,PLAQ,218000.00 (167000.00-275000.00),5791,99.21
1,hepatic_like,PLAQ,139000.00 (93000.00-196750.00),4990,99.22
2,basal,PLAQ,258000.00 (211000.00-313000.00),15401,99.05
0,inflammatory_renal,PCR,28.87 (6.16-110.41),4920,84.29
1,hepatic_like,PCR,7.97 (3.02-25.89),3741,74.39
2,basal,PCR,8.05 (2.16-32.98),12695,81.65
0,inflammatory_renal,CREATININA,1.44 (1.18-1.97),5325,91.23
1,hepatic_like,CREATININA,0.85 (0.70-1.02),4523,89.94
2,basal,CREATININA,0.78 (0.65-0.93),13969,89.84
0,inflammatory_renal,UREIA,63.24 (49.09-88.31),5137,88.01
1,hepatic_like,UREIA,27.59 (20.80-36.89),4031,80.16
2,basal,UREIA,29.44 (23.35-36.25),12799,82.32
0,inflammatory_renal,TGO,27.00 (20.00-35.70),4342,74.39
1,hepatic_like,TGO,62.20 (42.23-104.17),4762,94.69
2,basal,TGO,22.40 (16.80-27.90),12114,77.91
0,inflammatory_renal,TGP,18.60 (13.00-28.48),3962,67.88
1,hepatic_like,TGP,52.60 (32.40-90.55),4692,93.3
2,basal,TGP,16.70 (12.30-23.20),11425,73.48
0,inflammatory_renal,BILIRRUBINA,0.54 (0.39-0.81),2788,47.76
1,hepatic_like,BILIRRUBINA,0.54 (0.38-0.92),2666,53.01
2,basal,BILIRRUBINA,0.46 (0.34-0.64),7247,46.61
0,inflammatory_renal,CPK,85.00 (49.00-163.00),2884,49.41
1,hepatic_like,CPK,125.00 (67.00-281.75),2446,48.64
2,basal,CPK,87.00 (55.70-148.00),6855,44.09
0,inflammatory_renal,FOSFATASE_ALCALINA,67.00 (53.00-88.00),2319,39.73
1,hepatic_like,FOSFATASE_ALCALINA,71.00 (53.00-106.50),1919,38.16
2,basal,FOSFATASE_ALCALINA,63.00 (51.00-79.00),6258,40.25
0,inflammatory_renal,GLICOSE,100.20 (86.90-133.70),153,2.62
1,hepatic_like,GLICOSE,103.90 (91.00-142.90),55,1.09
2,basal,GLICOSE,92.60 (84.40-104.00),557,3.58
0,inflammatory_renal,LDH,211.00 (169.00-272.00),2784,47.7
1,hepatic_like,LDH,279.00 (219.00-369.50),2167,43.09
2,basal,LDH,187.00 (158.00-227.12),6448,41.47
0,inflammatory_renal,POTASSIO,4.45 (4.02-4.94),3249,55.66
1,hepatic_like,POTASSIO,4.14 (3.81-4.49),1874,37.26
2,basal,POTASSIO,4.18 (3.87-4.47),5866,37.73
0,inflammatory_renal,SODIO,136.50 (133.70-138.80),3260,55.85
1,hepatic_like,SODIO,136.60 (134.00-138.60),1904,37.86
2,basal,SODIO,137.00 (135.00-138.70),5931,38.15
0,inflammatory_renal,TAP,79.00 (63.00-95.00),1776,30.43
1,hepatic_like,TAP,84.00 (69.00-100.00),1703,33.86
2,basal,TAP,85.00 (73.00-100.00),4092,26.32
