comparison,variable,left_median,right_median,absolute_difference,ratio_of_medians,preferred_effect_summary
inflammatory_renal_vs_basal,idade,70.8,40.6,30.2,1.7438,30.20
inflammatory_renal_vs_basal,LEUCO,9590.0,8830.0,760.0,1.0861,1.09x
inflammatory_renal_vs_basal,PLAQ,218000.0,258000.0,-40000.0,0.845,0.84x
inflammatory_renal_vs_basal,PCR,28.87,8.05,20.82,3.5863,3.59x
inflammatory_renal_vs_basal,CREATININA,1.44,0.78,0.66,1.8462,1.85x
inflammatory_renal_vs_basal,UREIA,63.24,29.44,33.8,2.1481,2.15x
inflammatory_renal_vs_basal,TGO,27.0,22.4,4.6,1.2054,1.21x
inflammatory_renal_vs_basal,TGP,18.6,16.7,1.9,1.1138,1.11x
inflammatory_renal_vs_basal,BILIRRUBINA,0.54,0.46,0.08,1.1739,1.17x
inflammatory_renal_vs_basal,CPK,85.0,87.0,-2.0,0.977,0.98x
inflammatory_renal_vs_basal,FOSFATASE_ALCALINA,67.0,63.0,4.0,1.0635,1.06x
inflammatory_renal_vs_basal,GLICOSE,100.2,92.6,7.6,1.0821,1.08x
inflammatory_renal_vs_basal,LDH,211.0,187.0,24.0,1.1283,1.13x
inflammatory_renal_vs_basal,POTASSIO,4.45,4.18,0.27,1.0646,1.06x
inflammatory_renal_vs_basal,SODIO,136.5,137.0,-0.5,0.9964,1.00x
inflammatory_renal_vs_basal,TAP,79.0,85.0,-6.0,0.9294,0.93x
hepatic_like_vs_basal,idade,47.7,40.6,7.1,1.1749,7.10
hepatic_like_vs_basal,LEUCO,4665.0,8830.0,-4165.0,0.5283,0.53x
hepatic_like_vs_basal,PLAQ,139000.0,258000.0,-119000.0,0.5388,0.54x
hepatic_like_vs_basal,PCR,7.97,8.05,-0.08,0.9901,0.99x
hepatic_like_vs_basal,CREATININA,0.85,0.78,0.07,1.0897,1.09x
hepatic_like_vs_basal,UREIA,27.59,29.44,-1.85,0.9372,0.94x
hepatic_like_vs_basal,TGO,62.2,22.4,39.8,2.7768,2.78x
hepatic_like_vs_basal,TGP,52.6,16.7,35.9,3.1497,3.15x
hepatic_like_vs_basal,BILIRRUBINA,0.54,0.46,0.08,1.1739,1.17x
hepatic_like_vs_basal,CPK,125.0,87.0,38.0,1.4368,1.44x
hepatic_like_vs_basal,FOSFATASE_ALCALINA,71.0,63.0,8.0,1.127,1.13x
hepatic_like_vs_basal,GLICOSE,103.9,92.6,11.3,1.122,1.12x
hepatic_like_vs_basal,LDH,279.0,187.0,92.0,1.492,1.49x
hepatic_like_vs_basal,POTASSIO,4.14,4.18,-0.04,0.9904,0.99x
hepatic_like_vs_basal,SODIO,136.6,137.0,-0.4,0.9971,1.00x
hepatic_like_vs_basal,TAP,84.0,85.0,-1.0,0.9882,0.99x
