"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"AI-Driven Healthcare Decision Support System: Utilizing Machine Learning and Sentiment Analysis to Interpret Patient Feedback","T. -L. Tseng; Y. Chen; Y. -J. Hsieh; Y. -C. Wu; Y. -M. Chiang","Dept. of Management Sciences, Tamkang University, New Taipei City, Taiwan; Dept. of Management Sciences, Tamkang University, New Taipei City, Taiwan; Dept. of Information Management, National Changhua University of Education, Changhua, Taiwan; Dept. of Management Sciences, Tamkang University, New Taipei City, Taiwan; Dept. of Management Sciences, Tamkang University, New Taipei City, Taiwan",2025 International Conference on Advanced Machine Learning and Data Science (AMLDS),"2 Oct 2025","2025","","","390","393","With medical digitalization, online patient reviews have become crucial for evaluating healthcare quality. Traditional surveys face limitations in sample size and response rate, hindering real-time patient satisfaction assessment. This study develops an AI-driven Healthcare Decision Support System (AI-DSS) using NLP and ML to analyze patient reviews from NTUH and TVGH, identifying key satisfaction factors. Using BERT for sentiment analysis and text mining, feedback is categorized into five dimensions: facility environment, waiting time, staff attitude, medical procedures, and treatment outcomes. Multiple linear regression quantifies their impact on satisfaction, while a ChiSquare Test compares hospital performance. Results show waiting time and staff attitude as critical factors, with significant differences in the facility environment and staff attitude (p < 0.001). This study confirms AI's role in real-time satisfaction monitoring and data-driven healthcare improvements","","979-8-3315-1099-2","10.1109/AMLDS63918.2025.11159453","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11159453","Artificial Intelligence;Healthcare Decision Support System;Sentiment Analysis;Patient Satisfaction;Machine Learning","Decision support systems;Text mining;Sentiment analysis;Reviews;Hospitals;Web services;Linear regression;Machine learning;Real-time systems;Monitoring","","","","25","IEEE","2 Oct 2025","19-21 July 2025","19-21 July 2025","IEEE","IEEE Conferences"
"Improving Hospital Preparedness for Future Pandemics with Machine Learning and Queue Management Solutions","K. Bouramtane; S. Kharraja; J. Riffi; O. E. Beqqali; S. Boujraf","University of Jean Monnet Saint-Etienne, IUT of Roanne, LASPI, RU, ROANNE, FRANCE; University of Jean Monnet Saint-Etienne, IUT of Roanne, LASPI, RU, ROANNE, FRANCE; Faculty of science Dhar El Mahraz, Laboratory of Computer Science, Signals, Automation and Cognitivism (LISAC), University Sidi Mohamed Ben Abdellah, Fez, Morocco; Faculty of science Dhar El Mahraz, Laboratory of Computer Science, Signals, Automation and Cognitivism (LISAC), University Sidi Mohamed Ben Abdellah, Fez, Morocco; Dept. Biophysics & Clinical MRI Methods, Faculty of Medicine, Clinical Neuroscience Laboratory, University of Sidi Mohamed Ben, Abdellah, Fez, Morocco",2024 Sixth International Conference on Intelligent Computing in Data Sciences (ICDS),"25 Nov 2024","2024","","","1","6","The COVID-19 pandemic has underscored the critical need for resilient and efficient hospital workflows capable of managing sudden increases in patient volume. This study presents a comprehensive approach that integrates advanced machine learning algorithms with queue management techniques to enhance hospital preparedness and response during pandemics. By Employing predictive analytics and classification systems, our methodology improves patient triage, optimizes resource allocation, and reduces wait times, thereby enhancing overall patient care. The study includes a detailed analysis of machine learning models used for patient prioritization and an exploration of queue management strategies to streamline patient flow. Our findings indicate substantial improvements in hospital efficiency and the ability to handle peak demands during health crises. This research provides actionable insights and a robust framework for healthcare administrators aiming to fortify their facilities against future pandemic scenarios, ultimately contributing to better healthcare outcomes.","","979-8-3503-5120-0","10.1109/ICDS62089.2024.10756336","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10756336","Pandemic Preparedness;Hospital Workflow Management;Machine Learning;Queue Management;Patient Triage;Resource Allocation;Predictive Analytics;Healthcare Efficiency;Epidemic Response;Hospital Administration","Machine learning algorithms;Pandemics;Hospitals;Heuristic algorithms;Machine learning;Data models;Resource management;Servers;Predictive analytics;Queueing analysis","","2","","10","IEEE","25 Nov 2024","23-24 Oct. 2024","23-24 Oct. 2024","IEEE","IEEE Conferences"
"Optimizing Patient Flow and Resource Allocation in Hospitals using AI","Y. Rathore; U. Sinha; J. P. Haladkar; N. R. Mate; S. A. Bhosale; S. V. Chobe","Dept of Computer Science & Engineering, Shri Shankaracharya Institute of Professional Management and Technology Raipur, Chhattisgarh, India; Dept of Computer Science & Engineering, Guru Ghasidas VishwaVidyalaya (A central University); Department of Electronics and Telecommunication Engineering, Sant Gajanan Maharaj College of Engineering, Mahagaon, M.S., India; Bharati Vidyapeeth (Deemed to be University), Centre for Distance and Online Education, Pune; Department of Computer Science & Engineering, Sandip University, Nashik; Department of Computer Engineering, Pimpri Chinchwad College of Engineering & Research (PCCOER), Ravet, Pune",2023 International Conference on Artificial Intelligence for Innovations in Healthcare Industries (ICAIIHI),"15 Apr 2024","2023","1","","1","6","The present study investigates the incorporation of artificial intelligence (AI) into healthcare administration, with a specific focus on optimizing patient flow as well as allocating resources in various hospital environments. Using a descriptive research methodology with secondary data gathering, the study adopts an interpretivist philosophy and a deductive technique. The findings show that applying AI-driven techniques significantly improves patient wait times, the efficiency of resource utilization, and patient outcomes. The contrast between AI-enhanced practices and traditional procedures demonstrates how much better they are at optimizing patient flow. On the other hand, implementation-critical elements include initial investment expenses and ethical considerations. Investing in AI infrastructure, resolving algorithmic biases, including protecting data privacy are among the recommendations. Future research ought to concentrate on the scalability, long-term effects, and enhancements to AI systems for objective forecasts","","979-8-3503-3091-5","10.1109/ICAIIHI57871.2023.10489698","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10489698","artificial intelligence;healthcare management;patient flow optimization;resource allocation;interpretivism","Industries;Technological innovation;Ethics;Data privacy;Philosophical considerations;Hospitals;Scalability","","11","","30","IEEE","15 Apr 2024","29-30 Dec. 2023","29-30 Dec. 2023","IEEE","IEEE Conferences"
"Designing AI Systems for Optimizing Patient Flow in Smart Hospitals","N. Rakesh","Symbiosis Institute of Technology Nagpur Campus, Symbiosis International (Deemed University), Pune, India",2025 International Conference on Emerging Technologies and Innovation for Sustainability (EmergIN),"30 Mar 2026","2025","","","1151","1156","Managing the flow of patients well in hospitals is important for improving care, cutting down on wait times, and making sure patients do better. Traditional ways of managing patient flow aren't working anymore because modern healthcare systems are getting more complicated and there are more patients. This essay suggests a new way to improve the flow of patients in smart hospitals by using Artificial Intelligence (AI) systems together. AI systems can efficiently handle patient schedule, resource allocation, and bed utilisation by using real-time data collection, predictive analytics, and machine learning algorithms. This makes sure that care is delivered quickly and effectively. The suggested system uses Internet of Things (IoT) devices to keep an eye on patients all the time. It also includes AI-powered decision support tools that can guess what patients will need, speed up the entry and release processes, and handle the moving of patients between departments. AI can also help predict when there will be a lot of patients at once and make the best use of staff and resources to avoid jams and crowds. The paper uses case studies and models to show how the AI system can improve patient flow measures, lower running costs, and make the total patient experience better. Using AI in smart hospitals not only makes them run more smoothly, but it also lets doctors give each patient care that is specifically designed to meet their needs. This study shows that AI has the ability to completely change how patient flow is managed and stresses how important data-driven solutions will be for the future of healthcare systems.","","979-8-3315-5603-7","10.1109/EmergIN67762.2025.11450930","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11450930","AI Systems;Patient Flow Optimization;Smart Hospitals;Predictive Analytics;Healthcare Management","Technological innovation;Machine learning algorithms;Costs;Hospitals;Real-time systems;Internet of Things;Artificial intelligence;Predictive analytics;Sustainable development;Stress","","","","14","IEEE","30 Mar 2026","28-29 Nov. 2025","28-29 Nov. 2025","IEEE","IEEE Conferences"
"Reducing outpatient waiting time: a case study in Vietnamese private hospital","H. L. Pham; S. -L. Phouratsamay; M. Di Mascolo; B. Q. Nguyen","Univ. Grenoble Alpes, CNRS, Grenoble INP G-SCOP, Grenoble, France; Univ. Grenoble Alpes, CNRS, Grenoble INP G-SCOP, Grenoble, France; Univ. Grenoble Alpes, CNRS, Grenoble INP G-SCOP, Grenoble, France; Gia Khang International Hospital, Ho Chi Minh, Vietnam","2023 International Conference on Control, Automation and Diagnosis (ICCAD)","23 Jun 2023","2023","","","1","6","The outpatient department (OPD) is an essential feature of every hospital network around the globe. It is a complicated system with unique requirements to help patients avoid diseases, ensure speedy recovery without needing to be admitted for overnight care, and assist hospitals in conserving resources. As a result, one of the primary issues is ensuring its quality and client satisfaction. Although there are many factors at play, the goal of this study is to develop a discrete-event simulation model to reduce one of the most significant causes: the OPD's waiting time. The simulation model is based on a real-life case study of an OPD in a Vietnamese hospital where the patients decide the order of paraclinical procedures. Using real data from the hospital, we tested two strategies to improve the patient's decisions so that the waiting time in the system is reduced. Performance analysis and some managerial insights are used to look at how each different patient flow strategy affects the efficiency of the hospital.","2767-9896","979-8-3503-4707-4","10.1109/ICCAD57653.2023.10152381","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10152381","Discrete event modeling and simulation;decision support;performance analysis;health care management;outpatient department","Analytical models;Automation;Hospitals;Time measurement;Performance analysis;Behavioral sciences;Diseases","","2","","23","IEEE","23 Jun 2023","10-12 May 2023","10-12 May 2023","IEEE","IEEE Conferences"
"Integrating Lean Healthcare Practices with Discrete-Event Simulation to Reduce Patient Waiting Time in Outpatient Clinics at a Sri Lankan Public Hospital","N. Hettiarachchi; C. Kavirathna; A. Wijayanayake","Department of Industrial Management, University of Kelaniya, Kelaniya, Sri Lanka; Department of Industrial Management, University of Kelaniya, Kelaniya, Sri Lanka; Department of Information Systems and Business Analytics, Deakin University, Burwood, Australia",2026 IEEE International Research Conference on Smart Computing and Systems Engineering (SCSE),"21 May 2026","2026","9","","1","7","Excessive patient waiting time is a persistent operational challenge in outpatient departments (OPDs) of public hospitals, particularly in high-volume and resourceconstrained healthcare systems. This study aims to analyze and reduce patient waiting time in the OPD of a major Sri Lankan public hospital by integrating Lean management practices with discrete-event simulation (DES). Lean tools were applied to map the current-state process and identify non-value-added activities, capacity imbalance, and workflow bottlenecks. Primary data were collected through time studies conducted over three consecutive working days, capturing patient arrivals, service times, and waiting durations at registration, consultation, and pharmacy stages. A DES model was developed using Arena Simulation Software to evaluate multiple Leanbased improvement scenarios, including partial appointmentbased demand leveling, layout optimization, consultation capacity balancing during peak hours, and digital queue management at the pharmacy. Simulation experiments were conducted for both peak-demand and reduced-capacity periods. Results reveal that doctor consultation is the primary bottleneck driving excessive waiting, with pharmacy services acting as a secondary bottleneck. While isolated Lean interventions yielded limited improvements, integrated Lean scenarios achieved substantial reductions in waiting time and lead time, together with notable increases in patient throughput, without infrastructure expansion. The findings demonstrate the effectiveness of simulation-supported Lean integration as a practical decision-support approach for improving OPD efficiency in public healthcare settings.","2997-7363","979-8-3315-4791-2","10.1109/SCSE70081.2026.11525387","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11525387","DES;Lean Methodology;OPD;Patient Waiting Time","Timing;Medical services;Simulation;Modeling;Fluid flow;Hospitals;Printing;Limiting;Optimization;Tools","","","","16","IEEE","21 May 2026","26-26 March 2026","26-26 March 2026","IEEE","IEEE Conferences"
"Leveraging Patient Flow Data to Reduce Hospital Readmissions: A Study Using Medical Dashboards","S. Deshmukh; U. Pacharaney","Department of Artificial Intelligence and Data Science, Datta Meghe Institute of Higher Education and Research, Wardha, India; Department of Artificial Intelligence and Machine Learning, Datta Meghe Institute of Higher Education and Research, Wardha, India",2025 4th International Conference on Sentiment Analysis and Deep Learning (ICSADL),"27 Mar 2025","2025","","","1662","1665","Transparent reporting of patient outcomes is becoming more and more common as the inequalities in health outcomes amongst groups are being more widely acknowledged. In addition, documenting health outcomes over time across subgroups will be necessary for pay-for-equity programs like those put forth by the Centers for Medicare and Medicaid. One way to visualize data in the context of healthcare is through dashboards, which may be used to identify important differences in clinical outcomes, direct focused efforts toward quality improvement, and eventually enhance health equity. We assess every study that has documented the effective creation of a disparity dashboard in this viewpoint, and we also publish the information gathered and any unexpected repercussions that have been mentioned. We offer a framework for the systematic enhancement of equity via reward systems to lessen health inequalities and incentives for gathering and reporting health data. essential elements of efficient hospital management. A sophisticated approach is necessary to address the impact that hospital leadership has on patient outcomes. Because they embody patient-centered care in their everyday lives, these executives serve as the company's role models. The beliefs, vision, and leadership style of healthcare professionals greatly influence their behavior and performance. Competent leaders who inspire and empower their staff foster a culture of responsibility, creativity, and cooperation. They exhort healthcare professionals to put their patients' safety, satisfaction, and well-being first. Strategic planning, resource allocation, and decision-making are all components of good leadership that support the hospital's goal of offering the highest quality of care. essential elements of efficient hospital management. A sophisticated approach is necessary to address the impact that hospital leadership has on patient outcomes. Because they embody patient-centered care in their everyday lives, these executives serve as the company's role models. The beliefs, vision, and leadership style of healthcare professionals greatly influence their behavior and performance. Competent leaders who inspire and empower their staff foster a culture of responsibility, creativity, and cooperation. They exhort healthcare professionals to put their patients' safety, satisfaction, and well-being first. Strategic planning, resource allocation, and decision-making are all components of good leadership that support the hospital's goal of offering the highest quality of care.","","979-8-3315-2392-3","10.1109/ICSADL65848.2025.10933252","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10933252","Patient;Hospital Readmission;Healthcare;Treatment","Leadership;Sentiment analysis;Systematics;Hospitals;Decision making;Strategic planning;Safety;Resource management;Predictive analytics;Creativity","","1","","17","IEEE","27 Mar 2025","18-20 Feb. 2025","18-20 Feb. 2025","IEEE","IEEE Conferences"
"Ontology-Based Decision Support System for Resource Allocations to Manage Overcrowding in Hospital Departments","N. I. M. Saleh; M. A. Azman; N. H. Wazir; N. A. M. Sidi; T. Ganapathy; M. Z. M. Bin Jilani","Faculty of Information Technology and Communication, Universiti Teknikal Malaysia, Melaka, Malaysia; Faculty of Information Technology and Communication, Universiti Teknikal Malaysia, Melaka, Malaysia; Faculty of Information Technology and Communication, Universiti Teknikal Malaysia, Melaka, Malaysia; Faculty of Information Technology and Communication, Universiti Teknikal Malaysia, Melaka, Malaysia; Faculty of Information Technology and Communication, Universiti Teknikal Malaysia, Melaka, Malaysia; Department of Computing, Sheffield Hallam University, Sheffield, United Kingdom",2025 5th International Conference on Advanced Enterprise Information System (AEIS),"30 Apr 2026","2025","","","53","57","Hospital overcrowding is a significant challenge that impacts healthcare efficiency and patient outcomes. The growing demand for hospital services, coupled with resource constraints, necessitates the development of intelligent systems to optimize hospital operations. This paper presents a Decision Support System (DSS) for resource allocation to effectively manage hospital overcrowding. By integrating DSS with an ontological model, the proposed system provides real-time analytics, predictive modeling, and decision automation to enhance hospital workflows. It is designed to assist hospital administrators and medical staff in optimizing resource distribution, expediting patient discharge, and enabling data-driven decision-making. Through structured database design and an advanced simulation model, this research improves patient flow, reduces congestion, and supports sustainable healthcare management. The findings demonstrate that a wellstructured DSS can significantly enhance decision-making and resource efficiency, offering a scalable solution for future healthcare advancements.","","979-8-3315-5656-3","10.1109/AEIS68693.2025.00016","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11490078","Decision Support System;Simulation Model;Discrete-event Simulation;Hospital Overcrowding;Ontology","MIMICs;Millimeter wave integrated circuits;Monolithic integrated circuits;OWL;Protocols;Interoperability;HTTP;Semantic Web;Internetworking;Communications technology","","","","17","IEEE","30 Apr 2026","7-9 Dec. 2025","7-9 Dec. 2025","IEEE","IEEE Conferences"
"Optimizing Patient Flow in Hospitals: Strategies for Reducing Wait Times and Improving Efficiency","R. Ramakrishnan; B. Panneerselvan; P. Rakkiappan; R. Gupta; K. Hudani; S. Dhanasekaran","University of the Cumberlands, Union City, CA; Saveetha Engineering College, India; University of Madras, India; Pediatrician & Neonatologist Tejankar Hospital, Ujjain, M.P, India; Independent Researcher, Tampa, FL, USA; Department of ECE, Sri Eshwar College of Engineering, Coimbatore, Tamil Nadu, India",2025 3rd World Conference on Communication & Computing (WCONF),"17 Nov 2025","2025","","","1","7","Efficient control of patient flow in hospitals is essential for wait time management, resource utilization and quality of care. This report identifies important tools in the armamentarium of improving patient flow, such as redesigning, managing, and caring for a population of patients. Lean and Six Sigma methodologies can reduce bottlenecks in emergency rooms, surgical services and outpatient institutions in hospitals. Advanced booking systems, real-time data analysis, and predictive modeling also contribute to capacity management by predicting volume surges and maximizing the efficient use of staff. And telemedicine and digital triage is used to prevent inappropriate visits while cooperation between departments ensures a better transfer of care. The case studies available in this paper show that hospitals that have implemented such approaches can enjoy substantial increases in performance in terms of patient access time, bed turning rates and productivity gains. Furthermore, patients are more satisfied when waiting times are minimized, thus supporting there is a correlation between efficiency and level of quality of care. The findings underscore the importance of monitoring and adaptive management to retain success. Overall, a combined approach of process optimization and technological and personnel integration is necessary to realize the promise of patient flow and efficiency in modern healthcare systems.","","979-8-3315-3045-7","10.1109/WCONF64849.2025.11233409","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11233409","Patient Flow;Wait Times;Hospital Efficiency;Lean Methodology;Predictive Analytics;Telemedicine","Training;Hospitals;Telemedicine;Surgery;Turning;Throughput;Real-time systems;Predictive analytics;Surges;Optimization","","","","14","IEEE","17 Nov 2025","25-27 July 2025","25-27 July 2025","IEEE","IEEE Conferences"
"Bayesian Machine Learning for Decision Support in Healthcare Operations Management","A. Kumar; P. Jha; I. B. Kole; M. G. Shete; V. Brar; C. Kumar Jha; P. Gavali","Dr DYP Dnyan Prasad University, Pune; Dept of Computer Engineering, Alard University; RIIM, Pune; RIIM, Pune; Dr. D. Y. Patil B-School, Pune; NA; DYP College of Engineering and Technology, Kolhapur",2025 3rd World Conference on Communication & Computing (WCONF),"17 Nov 2025","2025","","","1","5","Healthcare operations management faces unprecedented challenges in resource allocation, patient flow optimization, and clinical decision-making under uncertainty. This paper presents a comprehensive Bayesian machine learning framework for decision support in healthcare operations. We develop a hierarchical Bayesian model that incorporates prior medical knowledge with real-time operational data to predict patient length of stay, optimize bed allocation, and support emergency department resource planning. Using the MIMIC-III clinical database with 46,520 patient records, our approach demonstrates a 23.7% improvement in prediction accuracy compared to traditional methods and reduces mean absolute error to 8.3 hours for length of stay predictions. The proposed framework employs Markov Chain Monte Carlo methods for posterior inference and integrates uncertainty quantification into operational decisions. Experimental results show significant improvements in bed utilization efficiency (increased by 18.2%) and reduction in patient waiting times (decreased by 31.5%). Our findings highlight the practical applicability of Bayesian methods in managing healthcare operations under uncertainty.","","979-8-3315-3045-7","10.1109/WCONF64849.2025.11233684","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11233684","Bayesian machine learning;healthcare operations;decision support systems;length of stay prediction;resource allocation;uncertainty quantification","Uncertainty;Accuracy;Databases;MIMICs;Medical services;Machine learning;Predictive models;Data models;Bayes methods;Resource management","","","","14","IEEE","17 Nov 2025","25-27 July 2025","25-27 July 2025","IEEE","IEEE Conferences"
