PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33350675","Pathways to Clinical Cardiac Xenotransplantation","Reichart B, Längin M, Denner J, Schwinzer R, Cowan PJ, Wolf E.","Transplantation. 2021 Sep 1;105(9):1930-1943. doi: 10.1097/TP.0000000000003588.","Reichart B","Transplantation","2021","2020/12/22","","","10.1097/TP.0000000000003588"
"38390474","Perceptions of tech-based mental health screening","McBain SA, Cleavenger K, Bull C, Payakachat N, Greer M.","Trauma Surg Acute Care Open. 2024 Feb 20;9(1):e001198. doi: 10.1136/tsaco-2023-001198. eCollection 2024.","McBain SA","Trauma Surg Acute Care Open","2024","2024/02/23","PMC10882365","","10.1136/tsaco-2023-001198"
"37705076","Cost-effectiveness analysis of COVID-19 tests in the unified health system","Cedro VQM, de Lima Gomes S, Simões ACCD, Sverzut TDVL, Bertti KCX, Tristão MT, Cavalcanti YW, Câmara JVF, Pereira AC.","Cost Eff Resour Alloc. 2023 Sep 13;21(1):64. doi: 10.1186/s12962-023-00469-1.","Cedro VQM","Cost Eff Resour Alloc","2023","2023/09/13","PMC10498608","","10.1186/s12962-023-00469-1"
"40663923","Challenges and opportunities in the Brazilian Unified Health System: Pathways to sustainability and equity","Rodrigues DLG.","Public Health. 2025 Oct;247:105844. doi: 10.1016/j.puhe.2025.105844. Epub 2025 Jul 14.","Rodrigues DLG","Public Health","2025","2025/07/15","","","10.1016/j.puhe.2025.105844"
"40208234","European Academy of Neurology (EAN)/European Federation of Autonomic Societies (EFAS)/International Neuro-Urology Society (INUS) Guidelines for Practising Neurologists on the Assessment and Treatment of Neurogenic Urinary and Sexual Symptoms (NEUROGED Guidelines)","Panicker JN, Fanciulli A, Skoric MK, Kaplan T, Aleksovska K, Adamec I, Averbeck MA, Campese N, Guaraldi P, Leys F, Moreno-Palacios J, Simeoni S, Stankovic I, Wright S, Batla A, Blok B, Hentzen C, Hilz MJ, Kessler TM, Madersbacher H, Nair KR, Nair KPS, Pakzad M, Traon AP, Peryer G, Przydacz M, Sakakibara R, Saraf U, Smith M, Struhal W, Thijs RD, Tudor KI, Tutaj M, Vodušek DB, Wenning G, Habek M.","Eur J Neurol. 2025 Apr;32(4):e70119. doi: 10.1111/ene.70119.","Panicker JN","Eur J Neurol","2025","2025/04/10","PMC11984325","","10.1111/ene.70119"
"34314637","Telehealth for Supporting Referrals to Specialized Care During COVID-19","Sperling S, Andretta CRL, Basso J, Batista CEA, Borysow IDC, Cabral FC, de Castro Filho ED, Costa LAV, Gehres LG, Kim KY, Maeyama MA, Mallmann ÉB, Morbeck RA, Oblonczyk MM, Pachito DV, Rodrigues ÁS, de Souza CF, Toth CPP, Gadenz SD.","Telemed J E Health. 2022 Apr;28(4):544-550. doi: 10.1089/tmj.2021.0208. Epub 2021 Jul 26.","Sperling S","Telemed J E Health","2022","2021/07/27","","","10.1089/tmj.2021.0208"
"41740218","[Brazil's Unified Health System: history and challenges]","Minho Conill E, Giovanella L.","Gac Sanit. 2026 Feb 24;40 Suppl 2:102573. doi: 10.1016/j.gaceta.2026.102573. Online ahead of print.","Minho Conill E","Gac Sanit","2026","2026/02/25","","","10.1016/j.gaceta.2026.102573"
"39194080","Bed demand and occupancy within the Brazilian National Health System for the most common types of cancer in Brazil, from 2018 to 2021: a cross-sectional study","Lima MAN, Villela DAM.","Epidemiol Serv Saude. 2024 Aug 23;33:e20231172. doi: 10.1590/S2237-96222024v33e20231172.en. eCollection 2024.","Lima MAN","Epidemiol Serv Saude","2024","2024/08/28","PMC11348741","","10.1590/S2237-96222024v33e20231172.en"
"37916706","Redesign of radiotherapy for prostate cancer: a proposal for universal healthcare systems","Beck da Silva Etges AP, de Lara LR, Sapper SL, Frankenberg Berger AV, Streck M, Zardo L, Linhares A, Nassif M, Zanotto A, Pereira Lima MN, Vargas R, Polanczyk CA.","J Comp Eff Res. 2023 Dec;12(12):e230023. doi: 10.57264/cer-2023-0023. Epub 2023 Nov 2.","Beck da Silva Etges AP","J Comp Eff Res","2023","2023/11/02","PMC10734317","","10.57264/cer-2023-0023"
"36169508","Spatial reorganization of the Brazilian Unified National Health System's inpatient care supply","Botega LA, Andrade MV, Guedes GR, Nogueira D.","Cad Saude Publica. 2022 Sep 26;38(9):e00012422. doi: 10.1590/0102-311XEN012422. eCollection 2022.","Botega LA","Cad Saude Publica","2022","2022/09/28","","","10.1590/0102-311XEN012422"
