PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"38618428","Surgical Preparedness Index in Orthopaedics During the Coronavirus Disease 2019 (COVID-19) Pandemic","Jeyaraman M, Jeyaraman N, Iyengar KP, Yadav S.","Cureus. 2024 Mar 12;16(3):e56066. doi: 10.7759/cureus.56066. eCollection 2024 Mar.","Jeyaraman M","Cureus","2024","2024/04/15","PMC11009917","","10.7759/cureus.56066"
"38913244","Machine learning and deep learning for classifying the justification of brain CT referrals","Potočnik J, Thomas E, Lawlor A, Kearney D, Heffernan EJ, Killeen RP, Foley SJ.","Eur Radiol. 2024 Dec;34(12):7944-7952. doi: 10.1007/s00330-024-10851-z. Epub 2024 Jun 24.","Potočnik J","Eur Radiol","2024","2024/06/24","PMC11557633","","10.1007/s00330-024-10851-z"
"37339511","Optimizing liver transplant prioritization for hepatocellular carcinoma through risk stratification","Norman J, Mehta N, Kwong A.","Curr Opin Organ Transplant. 2023 Aug 1;28(4):265-270. doi: 10.1097/MOT.0000000000001080. Epub 2023 Jun 19.","Norman J","Curr Opin Organ Transplant","2023","2023/06/20","","","10.1097/MOT.0000000000001080"
"41564330","AI in nuclear medicine","Andersen FL, Hansen AE.","Br J Radiol. 2026 Jan 21:tqag012. doi: 10.1093/bjr/tqag012. Online ahead of print.","Andersen FL","Br J Radiol","2026","2026/01/21","","","10.1093/bjr/tqag012"
"37143191","Clinical Decision Support Systems Used in Transplantation: Are They Tools for Success or an Unnecessary Gadget? A Systematic Review","Wingfield LR, Salaun A, Khan A, Webb H, Zhu T, Knight S.","Transplantation. 2024 Jan 1;108(1):72-99. doi: 10.1097/TP.0000000000004627. Epub 2023 May 5.","Wingfield LR","Transplantation","2024","2023/05/05","","","10.1097/TP.0000000000004627"
"40374942","Artificial intelligence for severity triage based on conversations in an emergency department in Korea","Seo JW, Park SJ, Kim YJ, Kim JY, Kim KG, Yoon YH.","Sci Rep. 2025 May 15;15(1):16870. doi: 10.1038/s41598-025-99874-0.","Seo JW","Sci Rep","2025","2025/05/15","PMC12081756","","10.1038/s41598-025-99874-0"
"38335929","Imagine there is no paperwork… it's easy if you try","Martín-Noguerol T, López-Úbeda P, Luna A.","Br J Radiol. 2024 Mar 28;97(1156):744-746. doi: 10.1093/bjr/tqae035.","Martín-Noguerol T","Br J Radiol","2024","2024/02/09","PMC11027242","","10.1093/bjr/tqae035"
"37935901","Predictive analytics for cardio-thoracic surgery duration as a stepstone towards data-driven capacity management","Nikolova-Simons M, Keldermann R, Peters Y, Compagner W, Montenij L, de Jong Y, Bouwman RA.","NPJ Digit Med. 2023 Nov 7;6(1):205. doi: 10.1038/s41746-023-00938-0.","Nikolova-Simons M","NPJ Digit Med","2023","2023/11/07","PMC10630382","","10.1038/s41746-023-00938-0"
"36090954","A predictive model for the post-pandemic delay in elective treatment","Nehme R, Puchkova A, Parlikad A.","Oper Res Health Care. 2022 Sep;34:100357. doi: 10.1016/j.orhc.2022.100357. Epub 2022 Sep 6.","Nehme R","Oper Res Health Care","2022","2022/09/12","PMC9446608","","10.1016/j.orhc.2022.100357"
"41302321","Combined Applications of Artificial Intelligence and Simulation for Healthcare Process Optimization: A Systematic Review","Álvarez-Vázquez J, Casal-Guisande M, Fernández-García A, Mosteiro-Añón M, Torres-Durán M, Fernández-Villar A.","Healthcare (Basel). 2025 Nov 16;13(22):2933. doi: 10.3390/healthcare13222933.","Álvarez-Vázquez J","Healthcare (Basel)","2025","2025/11/27","PMC12652712","","10.3390/healthcare13222933"
