PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"38369749","Machine learning-based prediction of in-hospital mortality for critically ill patients with sepsis-associated acute kidney injury","Gao T, Nong Z, Luo Y, Mo M, Chen Z, Yang Z, Pan L.","Ren Fail. 2024 Dec;46(1):2316267. doi: 10.1080/0886022X.2024.2316267. Epub 2024 Feb 18.","Gao T","Ren Fail","2024","2024/02/19","PMC10878338","","10.1080/0886022X.2024.2316267"
"38822906","Dissatisfaction-considered waiting time prediction for outpatients with interpretable machine learning","Shin J, Lee DA, Kim J, Lim C, Choi BK.","Health Care Manag Sci. 2024 Sep;27(3):370-390. doi: 10.1007/s10729-024-09676-5. Epub 2024 Jun 1.","Shin J","Health Care Manag Sci","2024","2024/06/01","PMC11461612","","10.1007/s10729-024-09676-5"
"37910168","Characteristics and Admission Preferences of Pediatric Emergency Patients and Their Waiting Time Prediction Using Electronic Medical Record Data: Retrospective Comparative Analysis","Guo LL, Guo LY, Li J, Gu YW, Wang JY, Cui Y, Qian Q, Chen T, Jiang R, Zheng S.","J Med Internet Res. 2023 Nov 1;25:e49605. doi: 10.2196/49605.","Guo LL","J Med Internet Res","2023","2023/11/01","PMC10652198","","10.2196/49605"
"39696352","New insights into the role of mitophagy related gene affecting the metastasis of osteosarcoma through scRNA-seq and CRISPR-Cas9 genome editing","Zheng S, Luo M, Huang H, Huang X, Peng Z, Zheng S, Tan J.","Cell Commun Signal. 2024 Dec 18;22(1):592. doi: 10.1186/s12964-024-01989-w.","Zheng S","Cell Commun Signal","2024","2024/12/19","PMC11657588","","10.1186/s12964-024-01989-w"
"40898206","SLC16A3 as an immunosuppressive Kupffer cell marker predicts poor prognosis in HBV-positive hepatocellular carcinoma","Zhang J, Pan Y, Zhao Z, Chen B, Fan W, Zhao S, Lv Y, Jiang T.","J Transl Med. 2025 Sep 2;23(1):988. doi: 10.1186/s12967-025-06861-0.","Zhang J","J Transl Med","2025","2025/09/02","PMC12406350","","10.1186/s12967-025-06861-0"
"36865549","Novel exosome-related risk signature as prognostic biomarkers in glioblastoma","Ding M, Xu Q, Jin X, Han Z, Jiang H, Sun H, Jin Y, Piao Z, Zhang S.","Front Immunol. 2023 Feb 14;14:1071023. doi: 10.3389/fimmu.2023.1071023. eCollection 2023.","Ding M","Front Immunol","2023","2023/03/03","PMC9971586","","10.3389/fimmu.2023.1071023"
"40211230","SIGMAR1 screened by a GPCR-related classifier regulates endoplasmic reticulum stress in bladder cancer","Zhuang J, Wang Y, Wu X, Peng Z, Huang Z, Zhao C, Shen B.","J Transl Med. 2025 Apr 10;23(1):417. doi: 10.1186/s12967-025-06393-7.","Zhuang J","J Transl Med","2025","2025/04/11","PMC11987370","","10.1186/s12967-025-06393-7"
"40412396","Health-care burden related to respiratory syncytial virus in a resource-constrained setting: a prospective observational study","Saha S, Saha S, Kanon N, Hooda Y, Islam MS, Islam S, Ahmed ZB, Rahman SW, Alam MJ, Anik AM, Sarkar PK, Ahsan MR, Amin MR, Saha SK.","Lancet Glob Health. 2025 Jun;13(6):e1072-e1081. doi: 10.1016/S2214-109X(25)00048-8.","Saha S","Lancet Glob Health","2025","2025/05/24","PMC12100462","","10.1016/S2214-109X(25)00048-8"
"38416787","Study of medium and long-term free flow capacity and queue discharge rates on roads","Rong Y, Xue Z.","PLoS One. 2024 Feb 28;19(2):e0290161. doi: 10.1371/journal.pone.0290161. eCollection 2024.","Rong Y","PLoS One","2024","2024/02/28","PMC10901346","","10.1371/journal.pone.0290161"
"33721589","Predicting waiting and treatment times in emergency departments using ordinal logistic regression models","Ataman MG, Sarıyer G.","Am J Emerg Med. 2021 Aug;46:45-50. doi: 10.1016/j.ajem.2021.02.061. Epub 2021 Mar 1.","Ataman MG","Am J Emerg Med","2021","2021/03/15","","","10.1016/j.ajem.2021.02.061"
