ID,Title,Author(s),Source,Journal,Language(s),Publication year,Fulltext URL 
 "S1808-18512025000100201-scl","ECONOMIC AND CLINICAL IMPACT OF LONG WAITING LISTS FOR SCOLIOSIS SURGERY","Goulardins, Juliana Barbosa, Aguiar, Carolina Villa Nova, Dias, Cristiane Maria Carvalho Costa, Meves, Robert, Andújar, Andre Luis Fernandes, Matos, Marcos Almeida","Coluna/Columna; 24(1); -","Coluna/Columna","English","2025","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-18512025000100201&lang=en" 
"S0102-36162025000100409-scl","Organization of a Pediatric Scoliosis Surgery Task Force and Analysis of Clinical and Radiographic Outcomes","Bitencourt Júnior, Carlos Augusto Belchior, Pratali, Raphael de Rezende, Aguiar Lira, Réjelos Charles, Vieira de Morais, Sebastião, de Araújo, Anderson Matheus Medeiros, Herrero, Carlos Fernando Pereira da Silva","Revista Brasileira de Ortopedia; 60(1); -","Revista Brasileira de Ortopedia","English","2025","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162025000100409&lang=en" 
"S1414-98932025000100335-scl","Plantão Psicológico e Terapia Cognitivo-Comportamental: Desenvolvimento e Demarcação das Intervenções a partir da Prática Baseada em Evidências","Medeiros, Antônio Gabriel Araújo Pimentel de, Silva, Tatiana Araújo Bertulino da, Santana, Suely de Melo","Psicologia: Ciência e Profissão; 45(); -","Psicologia: Ciência e Profissão","Portuguese","2025","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932025000100335&lang=en" 
"S1413-81232025000700303-scl","Novos caminhos para a atenção especializada no Município do Rio de Janeiro, Brasil: resultados do Super Centro Carioca de Saúde","Britto, Fernanda Adães, Ramos, André Luis Paes, Bortolon, Paula, Virgilio, Thiago Costa, Modesto, Alexandre, Silva, Iandara de Moura, Pegado, Rodrigo Schwartz, Prado Junior, José Carlos","Ciência &amp; Saúde Coletiva; 30(7); -","Ciência &amp; Saúde Coletiva","Portuguese, English","2025","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232025000700303&lang=en" 
"S0103-11042025000500600-scl","Teleconsultorias na gestão de filas de especialidades médicas: relato de experiência no sul do Brasil","Petrolini, Rafaela Souza, Araújo, Maria Fernanda, Alves, Larissa, Salib, Eliane das Graças Camargo dos Santos, Maeyama, Marcos Aurélio, Machado, Patrícia Maria de Oliveira, Boing, Antonio Fernando","Saúde em Debate; 49(spe1); -","Saúde em Debate","Portuguese","2025","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-11042025000500600&lang=en" 
"S0103-11042025000500212-scl","Contribuição das teleconsultorias no fortalecimento da Rede de Atenção à Saúde em Santa Catarina","Colussi, Claudia Flemming, Amadigi, Felipa Rafaela, Petrolini, Rafaela Souza, Araújo, Maria Fernanda, Machado, Patrícia Maria Oliveira, Boing, Antonio Fernando","Saúde em Debate; 49(spe1); -","Saúde em Debate","Portuguese","2025","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-11042025000500212&lang=en" 
"S0102-311X2025000601200-scl","Listas de espera na atenção ambulatorial especializada: reflexões sobre um conceito crítico para o Sistema Único de Saúde","Giannotti, Elaine Maria, Louvison, Marília, Chioro, Arthur","Cadernos de Saúde Pública; 41(6); -","Cadernos de Saúde Pública","Portuguese","2025","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2025000601200&lang=en" 
"S2237-96222025000100278-scl","Impact of management of access to cardiac surgery in the Brazilian Unified Health System at a university hospital in Campinas: pre-post analysis, 2013-2019","Antunes, Silvia Thomas, Lima, Viviana Aparecida de, Santos, Ivan Lira dos, Miguel, Rafaela Amadio, Ribeiro, Gustavo Calado de Aguiar, Mendes, Elisa Teixeira","Epidemiologia e Serviços de Saúde; 34(); -","Epidemiologia e Serviços de Saúde","English, Portuguese","2025","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-96222025000100278&lang=en" 
"S1983-80422024000100217-scl","Infertilidade: Sistema Único de Saúde e o direito fundamental ao planejamento familiar","Oliveira, Magali Gláucia Fávaro de, Bussinguer, Elda","Revista Bioética; 32(); -","Revista Bioética","Portuguese, English, Spanish","2024","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-80422024000100217&lang=en" 
"S1981-77462024000100523-scl","Análise da Autorregulação Formativa Territorial no Espírito Santo na percepção de médicos e gestores","Cunha, Clarice Sampaio, Cardoso, Andréa Lanzillotti, Rendeiro, Marcia Maria Pereira","Trabalho, Educação e Saúde; 22(); -","Trabalho, Educação e Saúde","Portuguese","2024","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-77462024000100523&lang=en" 
